,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11
Self-content (1pt),1,1,1,1,1,1,1,1,1,0,1
Scheme (2pt),2,2,2,2,2,1,2,2,1,1,2
Fomatting and self-cont. media (3pt),2,3,3,3,3,2,2,1,1,1,2
Appropriate conclusion (1pt),0,0,0,1,1,1,1,0,1,0,1
